product_id,url,product_name,brand,price,tier,weight_g,length_mm,width_mm,height_mm,feet_material,sensor_model,max_dpi,max_ips,max_acceleration_g,max_polling_rate,switch_type,connectivity,battery_max_hours,charging_port,is_rechargeable,button_count,is_gaming,hand_orientation,avg_rating,total_reviews,key_pros,key_cons,has_rgb,color,is_silent,switch_brand,has_multi_pairing,grip_type,housing_design,reviews
28618379,https://prod.danawa.com/info/?pcode=28618379&cate=112787,아이티플러스 스마트 옵티컬,아이티플러스,1290,C_reviews_only,,93,,93,,33mm,,,,,,,,,,,N,,4.33,18,가성비,"10분 이상 사용 안 하고 있으면 마우스 작동이 다운됩니다.1개 정도만 그런 줄 알았는데,다른 걸 개봉해서 사용해 봐도 그렇네요.다운 되면, 다시 뺐다 꽂아야 작동됩니다.참고하셔서,이 제품 자주 구매하는데,이번에 걸린 불량 종류는 많이 아쉽습니다.저가라서 오래 사용까지는 안 바래도작동이 다운되는 마우스는 또 처음 걸려봐요.다시 꽂으면 작동 됩니다. 참고.",N,,N,,N,,,"[긍정] 3-4개 중 하나만 제대로 작동되어도 가성비가 좋습니다. 이제 작은 게 익숙해져서 이보다 큰 건 불편하고 어색하네요. [부정] 10분 이상 사용 안 하고 있으면 마우스 작동이 다운됩니다.1개 정도만 그런 줄 알았는데,다른 걸 개봉해서 사용해 봐도 그렇네요.다운 되면, 다시 뺐다 꽂아야 작동됩니다.참고하셔서 구매하세요.그것 빼고는 다른 작동엔 고만 고만 해요.손이 작은 편이라 이 마우스를 선호하는데,이번엔 이런 불량이 걸렸어요."
18575588,https://prod.danawa.com/info/?pcode=18575588&cate=112787,TGIC TGC-M100,TGIC,1370,C_reviews_only,,105,,30,,,,,,,,,,,,,N,,4.75,4,,,N,,N,,N,,,[긍정] 필요하다며 주문해 달래서 구매했어요.
13902005,https://prod.danawa.com/info/?pcode=13902005&cate=112787,대진씨앤엠 AM-1500 광마우스,대진씨앤엠,1400,C_reviews_only,,105,,30,,,,1500,,,,유선,,,,,N,,4.75,12,가성비,,N,,N,,Y,,,[긍정] 노트북용으로 작은걸 원했는데딱 찾던 사이즈기존 마우스도 작았는데더 작고 아담하네요가성비 짱니다.
76508036,https://prod.danawa.com/info/?pcode=76508036&cate=112787,강원전자 NETmate NM-MS04,강원전자,1800,C_reviews_only,,96.5,,96.5,,,,,,,기계식,유선,,,,,N,오른손잡이용,4.6,5,"무선안정성,가성비",,N,,N,,Y,,,[긍정] 유선 미니마우스를 찾고있었는데 저렴해도 품질은 나쁘지 않아요 가성비 좋고요 왠만한 무선마우스 보다 좋아요
15985865,https://prod.danawa.com/info/?pcode=15985865&cate=112787,QNIX QM-5000 유선 마우스,QNIX,1860,C_reviews_only,,100,,35,,,,,,,기계식,유선,,,,2,N,오른손잡이용,4.51,98,"배터리,디자인,가성비","손가락에 힘이 들어갈 정도로 뻑뻑하며 유연하지 않고 고가 저소음만 쓰다보니 시끄러운 소음에 쓸 수 없음 2개나 샀는데 난감함,구매하고 사용한지 이틀만에 고장싼게 비지떡이라지만...추천 안합니다.다이소에서 다른 제품 구매해서 잘 사용하고 있습니다.,마우스 사용시 플라스틱 타는 냄새가 많이 나고 손에도 냄새가 납니다.",N,,N,,N,,,[긍정] 이번에 제가 QNIX QM-5000 3버튼 노트북 PC USB 유선마우스를 주문 구입 신청을 하게 된 이유가 있다면 저희 가족들의 불편함을 해결하기 위해 그래서 그러한 결정을 내리게 됐습니다. 그 이전에 저희 집에서 사용하고 있던 마우스 버튼에대한 이상 조짐을 통한 문제의 원인은 바로 제대로 해결이될 정도로 거의 100% 만족스러운 상태고 말이죠. 아무튼  [부정] 손가락에 힘이 들어갈 정도로 뻑뻑하며 유연하지 않고 고가 저소음만 쓰다보니 시끄러운 소음에 쓸 수 없음 2개나 샀는데 난감함
108461195,https://prod.danawa.com/info/?pcode=108461195&cate=112787,NOVOMAX NM-850,NOVOMAX,1870,C_reviews_only,,118,,35,,,,35,,,기계식,유선,,,,,N,오른손잡이용,4,1,,,N,,N,,Y,,,[긍정] 저렴하게잘 샀습니다..
12712025,https://prod.danawa.com/info/?pcode=12712025&cate=112787,TGIC TGC-M1200 USB,TGIC,1990,C_reviews_only,,120,,37,,,,100,,,,,,,,,N,,4.65,23,가성비,"드센 우리 애가 책상에 몇번 내려치니, 금방 고장나버렸네요.살살쓰면 괜찮겠지만, 싸서 그런지 내구성이 좋지 않았습니다.",N,,N,,Y,,,"[긍정] 가격 저렴하고 좋은 상품이여요 마우스는 소모품이라서 쓰다보면 인식이 잘 안되더라구요 그래서 살때 몇개씩 사요 잘 쓸게요 [부정] 드센 우리 애가 책상에 몇번 내려치니, 금방 고장나버렸네요.살살쓰면 괜찮겠지만, 싸서 그런지 내구성이 좋지 않았습니다."
1492243,https://prod.danawa.com/info/?pcode=1492243&cate=112787,건평정보통신 IPLEX IPLEX KP236 USB,건평정보통신 IPLEX,2100,C_reviews_only,,114,,36,,,,114,,,,유선,,,,,N,오른손잡이용,5,1,,,N,,N,,N,,,[긍정] 아주 작동 잘 됩니다
5694272,https://prod.danawa.com/info/?pcode=5694272&cate=112787,A4Tech OP-550NU X'GLIDE 옵티컬 유선 마우스,A4Tech,2200,A_complete,,110,,35,PTFE,35mm,1000,,,,,유선,,,,,N,오른손잡이용,5,1,,,N,,N,,N,,"대칭형,에르고",[긍정] 배송빠르고 좋아용 ㅎ
2815285,https://prod.danawa.com/info/?pcode=2815285&cate=112787,에이데이타코리아 DDZONE DM-710,에이데이타코리아,2370,C_reviews_only,,110,,38,,,,710,,,,유선,,,,,N,,4,9,가성비,그냥 가격만큼 성능을 보이는 마우스라고 보시면 됩니다.갑자기 마우스가 고장이나서 예비용품으로 구매했습니다.,N,,N,,Y,,,[긍정] 받아보니 예전에 사용했던 적이 있던 마우스군요.금방 고장났던 기억이...ㄷㄷ [부정] 그냥 가격만큼 성능을 보이는 마우스라고 보시면 됩니다.갑자기 마우스가 고장이나서 예비용품으로 구매했습니다.
